	address_x	coord_x	address_y	coord_y	address	sub
83	улица Чумбарова-Лучинского, 40к3, Мурманск, Россия	(68.999813, 33.067632)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица чумбарова-лучинского,40к3,мурманск,россия	['мурманская']
84	Ленинградская улица, 25, Гулькевичи, Краснодарский край, Россия	(45.370556, 40.716338)	Тавушская область, Армения	(40.906896, 45.218874)	ленинградская улица,25,гулькевичи,краснодарский край,россия	['краснодарский']
85	Лесная улица, 39, Мурманск, Россия	(68.979098, 33.011137)	провинция Пактика, Афганистан	(32.512373, 68.768667)	лесная улица,39,мурманск,россия	['мурманская']
86	улица Нахимова, 17, Мурманск, Россия	(69.022569, 33.086228)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица нахимова,17,мурманск,россия	['мурманская']
87	Флотская улица, 1, Заозёрск, Мурманская область, Россия	(69.398624, 32.445953)	Федерально управляемые племенные территории, Пакистан	(32.544442, 69.867998)	флотская улица,1,заозерск,мурманская область,россия	['мурманская']
88	улица Зои Космодемьянской, 9, Мурманск, Россия	(68.938547, 33.11827)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица зои космодемьянской,9,мурманск,россия	['мурманская']
89	село Новая Тараба, Кытмановский район, Алтайский край, Россия	(53.381572, 85.279379)			село новая тараба,кытмановский район,алтайский край,россия	['алтайский']
90	Советская улица, 15, село Кытманово, Кытмановский район, Алтайский край, Россия	(53.462116, 85.448127)			советская улица,15,село кытманово,кытмановский район,алтайский край,россия	['алтайский']
91	село Большой Атлым, Октябрьский район, Ханты-Мансийский автономный округ, Россия	(62.281669, 66.649425)	городской округ Воркута, Республика Коми, Россия	(67.140272, 63.910605)	городской округ воркута,республика коми,россия	['ханты-мансийский', 'коми']
92	Советская улица, 16, Гороховец, Владимирская область, Россия	(56.205961, 42.677639)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	советская улица,16,гороховец,владимирская область,россия	['владимирская']
93	Советская улица, 124, Холмск, Сахалинская область, Россия	(47.057464, 142.05056)			советская улица,124,холмск,сахалинская область,россия	['сахалинская']
